Entity,MVP Field,JSON Path,Type,Unit / Format,Enum / Constraint,Stored or Derived,Target Table,Target Column,Source System,System of Record,Cadence,Status,Decision Ref,Notes
termSheet,liquidation,pipeline[].termSheet.liquidation,string,text,,Stored,term_sheet,liquidation_pref,Platform (user entry),Platform,Per deal,Confirmed,ADR-009,Waterfall model assumes 1x non-participating regardless - see modelling note.
termSheet,antiDilution,pipeline[].termSheet.antiDilution,string,text,,Stored,term_sheet,anti_dilution,Platform (user entry),Platform,Per deal,Confirmed,ADR-009,
termSheet,board,pipeline[].termSheet.board,string,text,,Stored,term_sheet,board_composition,Platform (user entry),Platform,Per deal,Confirmed,ADR-009,
termSheet,proRata,pipeline[].termSheet.proRata,string,text,,Stored,term_sheet,pro_rata_terms,Platform (user entry),Platform,Per deal,Confirmed,ADR-009,
termSheet,dividends,pipeline[].termSheet.dividends,string,text,,Stored,term_sheet,dividends,Platform (user entry),Platform,Per deal,Confirmed,ADR-009,
termSheet,optionPool,pipeline[].termSheet.optionPool,string,text,,Stored,term_sheet,option_pool,Platform (user entry),Platform,Per deal,Confirmed,ADR-009,
termSheet,founderVesting,pipeline[].termSheet.founderVesting,string,text,,Stored,term_sheet,founder_vesting,Platform (user entry),Platform,Per deal,Confirmed,ADR-009,
memo,<entity id>,memos[<id>],object,keyed by company or deal id,FK,Stored,memo,subject_id,Platform (user entry),Platform,Per memo,Confirmed,ADR-001,"MVP keys memos by entity id, so one memo per entity. Production needs many memos per entity, versioned."
memo,exec,memos[<id>].exec,string,markdown,auto-prefilled,Stored,memo_section,body,Derived (computed),Platform,Per memo,Confirmed,ADR-001,"Prefilled from company/deal data, then editable."
memo,thesis,memos[<id>].thesis,string,markdown,,Stored,memo_section,body,Platform (user entry),Platform,Per memo,Confirmed,ADR-001,Author-written.
memo,market,memos[<id>].market,string,markdown,,Stored,memo_section,body,Platform (user entry),Platform,Per memo,Confirmed,ADR-001,Author-written.
memo,team,memos[<id>].team,string,markdown,,Stored,memo_section,body,Platform (user entry),Platform,Per memo,Confirmed,ADR-001,Author-written.
memo,topgrading,memos[<id>].topgrading,string,markdown,,Stored,memo_section,body,Platform (user entry),Platform,Per memo,Confirmed,ADR-001,"Author-written, template prefilled."
memo,product,memos[<id>].product,string,markdown,,Stored,memo_section,body,Platform (user entry),Platform,Per memo,Confirmed,ADR-001,Author-written.
memo,traction,memos[<id>].traction,string,markdown,auto-prefilled,Stored,memo_section,body,Derived (computed),Platform,Per memo,Confirmed,ADR-001,Prefilled from latest KPI row.
memo,terms,memos[<id>].terms,string,markdown,auto-prefilled,Stored,memo_section,body,Derived (computed),Platform,Per memo,Confirmed,ADR-001,Prefilled from rounds or term sheet.
memo,captable,memos[<id>].captable,string,markdown,auto-prefilled,Stored,memo_section,body,Derived (computed),Platform,Per memo,Confirmed,ADR-001,Prefilled from ownership + reserves + board.
memo,risks,memos[<id>].risks,string,markdown,auto-prefilled,Stored,memo_section,body,Derived (computed),Platform,Per memo,Confirmed,ADR-001,Prefilled from riskFlags + covenants + govFunding.
memo,returns,memos[<id>].returns,string,markdown,auto-prefilled,Stored,memo_section,body,Derived (computed),Platform,Per memo,Confirmed,ADR-001,Prefilled skeleton; scenario grid completed by author.
memo,reco,memos[<id>].reco,string,markdown,,Stored,memo_section,body,Platform (user entry),Platform,Per memo,Confirmed,ADR-001,Author-written. Candidate for a structured decision field (Invest/Pass/Hold) alongside the prose.
meta,schemaVersion,meta.schemaVersion,integer,int,currently 1,Stored,-,-,Platform config,Platform,On change,Confirmed,ADR-001,Keep and increment. This is the contract version Daniel's imports key off.
meta,savedAt,meta.savedAt,datetime,ISO 8601,,Stored,-,-,Derived (computed),Platform,Live,Confirmed,ADR-001,Export timestamp.
meta,demo,meta.demo,boolean,true/false,,Stored,-,-,Platform config,Platform,Live,Confirmed,ADR-001,Flags demo vs real data. Retain in exports.
